Ticket created - Month,Customer,Product Name,Application,Incident Type,Ticket Type,Ticket Category,Incident Description,Incident Severity,Resolution Steps,Resolved by
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Mail update was requested,Severity 4,"1. Request given to update user mail
2. Dhivya checked in SSP and found that user is yet to be created and user has been created with email specified to be updated 
3. Confirmation given to team and mail sent  to the user with password",L1
July,Wheeltek,Fintech - AIDC,Mobile,Onboarding,Request,Request for user registration,User wants to know how to login,Severity 4,"1. User wants to know about the application
2. Dhivya checked in the SSP
3. Asked user to contact admin manager for registration",L1
July,Wheeltek,Fintech - AIDC,Web Application,Network,Training,Training on Payment Recording,User couldn't find vehicle list in the dashboard,Severity 4,"1. User couldn't find the vehicle list in the dashboard
2. Divya checked in SSP and asked the user to relogin
3. Issue has been resolved",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request for user registration,User wants to get registered,Severity 4,"1. user wants to get registered
2. Divya checked
3. Asked user to contact admin manager for registration",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,User wants to update phone number,Severity 4,"1. User wants to update phone number
2. Divya checked in the SSP
3. Phone number has been updated",L1
July,Wheeltek,Fintech - AIDC,Mobile,User Training,Training,Training on Payment Recording,User wanted to know how to enter DL number,Severity 4,"1. User was not able to DL number 
2. Divya checked and advised the user to enter only numeric or can be skipped
3. Issue was resolved",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,User wants to get registered,Severity 4,"1. User wants to get registered
2. Divya checked in SSP
3. Asked the user to contact admin manager for registration",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on user login,User was unable to login,Severity 3,"1. User was unable to login
2. Divya checked in the SSp and the user was not registered
3. Asked the user to contact admin manager for registration",L1
July,Wheeltek,Fintech - AIDC,Web Application,Onboarding,Training,Training on Payment Recording,User  wants to edit loan application,Severity 4,"1. User DOB entered wrong in the application
2. Divya checked and informed user the details cannot be changed once the application is submitted
3. Confirmation was given to the user",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Training,Training on Payment Recording,User need to change DOB in application after submitting the application,Severity 4,"1. User need to change DOB in application after submitting the application
2. Divya checkedd in SSP and informed user it cannot be updated
3. Confirmation was given to the user",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request on User modification,User requested for phone number and name modification,Severity 4,"1. User requested for name and phone number modification
2. Divya checked in SSP and updated the mobile number and name changed was done 
3. Confirmation was given to the user",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on user login,User reported login issue,Severity 3,"1. User reported login issue
2. Divya checked and asked user to user resst password option to reset password and login
3. User rest password and logged in",L1
July,Wheeltek,Fintech - AIDC,Web Application,Onboarding,Request,Request for user registration,New cashier account registration request,Severity 4,"1. New cashier account registration was requested
2. Dhivya checked in SSP and new user account was created
3. Mail was sent to the user and confirmation was given to the team",L1
July,Wheeltek,Fintech - AIDC,Web Application,Onboarding,Request,Request for user registration,Request to create new cashier account,Severity 4,"1. Request was raised to create new cashier registration
2. Dhivya checked SSP and the user was already created
3. Confirmation was given to team",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request for user registration,User contacted for new CS account registration,Severity 4,"1. User contacted for new cs account registration
2. Divya checked in the SSP and user account created
3. Email confirmation send to user",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Training,Training on Payment Recording,User needs to update comaker 2,Severity 4,"1. User unable to note comaker 2
2. Divya checked in SSP and informed comaker 2 will be available on Thursday
3. Confirmation was given to user",L1
July,Wheeltek,Fintech - AIDC,Mobile,User Training,Training,Training on Payment Recording,User wants to know about editing a loan application,Severity 4,"1. Sales person wants to know about editing an application
2. Divya checked the details
3. Updated to sales person that once the application is submitted they cannot edit the application",L1
July,Wheeltek,Fintech - AIDC,Mobile,User Training,Training,Training on Payment Recording,User wants to know about editing a loan application,Severity 4,"1. User wants to know about editing an application
2. Checked the details and informed user to file a new application",L1
July,Wheeltek,Fintech - AIDC,Mobile,User Training,Training,Training on Payment Recording,User wants to know about filing a loan application,Severity 4,"1. User wants to know about filing a loan application
2. Instructed about the steps in filing application",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Training,Training on Payment Recording,User wants to know about editing a loan application,Severity 4,User wants to know about editing an application,L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager wants to create a cashier account,Severity 4,"1. Manager wants to register one cashier account
2. Divya checked in the SSP and created cashier account
3. Confirmed to Manager that cashier account has been created and details has been shared to cashier via his email",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Training,Training on Payment Recording,User wants to know about editing a loan application,Severity 4,"1. User wants to know about editing an application
2. Divya checked the details
3. Details shared to user for editing an application",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Training,Training on Payment Recording,User wants to edit the application,Severity 4,"1. User want to change details of customer in application
2. Dhivya checked in SSP and modification not possible 
3. Confirmation given to user",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,New cashier account to be created,Severity 4,"1. New user registration request raised
2. Dhivya checked in SSP and already user account exist
3. Confirmation was given to team",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Training,Training on Payment Recording,User wants to know about filling an application,Severity 4,"1. User wants to know about filing an application
2. Divya checked the details 
3. Asked user to clear cache and again submit the application",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request for user registration,User unable to login,Severity 4,"1. User unable to login 
2. Divya checked in SSP and informed user account is not registered 
3. Confirmed user to contact admin manager",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on user login,User having issue while logging in,Severity 3,"1. User having issue while login
2. Divya checked the details
3. Asked user to contact admin manager to register the account in order to use the application",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Training,Training on Payment Recording,Sales person wants to know about editing an application post submitting it,Severity 4,"1. User wants to know about editing an application post submitting it
2. Divya checked the details
3. Informed the user that once the application is submitted, it cannot be edited",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Training,Training on Payment Recording,Sales person wants to know if he can edit the application after submitting it,Severity 4,"1. SP wants to know if he can edit the loan application post submitting it
2. Divya checked the details
3. Informed the SP that he cannot edit the application post submitting it",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager wants to register a cashier account,Severity 4,"1. Manager wants to register a cashier account
2. Divya checked in the SSP and register cashier account
3. Email send to cashier with the login credentials",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,User account not registered,Severity 4,"1. User cant login
2. Dhivya checked in SSP and said user account not registered
3. Confirmed user to ask admin manager for registration",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,User unable to login,Severity 4,"1. User unable to login
2. Dhivya checked in SSP and informed account not registered
3. Confirmed user to contact admin manager for account registration",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on user login,User having issue while login,Severity 3,"1. User having issue while login
2. Dhivya checked the details and asked user to try forgot password option to reset password
3. User was able to login after resetting the password",L1
July,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,Training on payment recording,Severity 4,"1. User need step by step process for application
2. Divya checked in SSP and informed the procedure
3. Confirmation was given to the user",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User unable to login,Severity 4,"1. User unable to login
2. Dhivya checked in SSP and informed user account not registered
3. Informed user can register his account via admin manager",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request on User modification,User want to change phone number,Severity 4,"1. User wants to change his phone number
2. Dhivya checked in SSP and informed user to check with his manager
3. Confirmation given to user",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User having hang issue,Severity 3,"1. User unable application hang in pending
2. Dhivya checked in SSP and asked user to send a screenshot
3. Upon checking issue got resolved and confirmation given to user",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User asked how to check application,Severity 4,"1. User asked how to check application
2. Dhivya checked in SSP and informed the procedure to the user
3. Confirmation was given to the user",L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on user login,User reported login issue,Severity 3,"1. User reported login issu2
2. Dhivya checked the details
3. asked user to use forgot password opton to reset password and login",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,user want to register,Severity 4,"1. User want to register
2. Divya checked SSP and informed customer to contact admin manager
3. confirmation was given to user",L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,User wants to update branch,Severity 4,"1. CS want to update branch
2. Divya checked in SSP
3. Updated branch and confirmed user",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User wants to know details of filing an application,Severity 4,"1. User wants to know about filing an application
2. Divya checked the details
3. Information provided to user for filing an application",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User want step by step information,Severity 4,"1. User want step by step information on checking status of loan application
2. Divya checked in SSP and informed the user  
3. Confirmation was given to the user",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User want to know how to create application,Severity 4,"1. User want to know step by step process of application creation
2. Divya checked in SSP and informed the steps to the user
3. Confirmation was given to the user",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Training,Training on Payment Recording,User has login issue,Severity 4,"1. User unable to login
2. Divya checked in SSP and shared the steps to the user
3. Confirmation was given to user",L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,User wants to update branch,Severity 4,"1. CS wants to update branch
2. Divya checked the details and updated branch
3. Confirmed user that branch has been updated",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager requested for a cashier account creation,Severity 4,"1. Manager requested for a cashier account creation
2. Divya checked the details and created cashier account
3. Email confirmation send to manager",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,Bookkeeper reported he is not able to view the application,Severity 4,"1. User reported he is not able to view review for applications
2. Divya checked SSP and informed user the issue has been resolved
3. confirmation was given to the user",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User wants to know about the comments in a loan application after CI review,Severity 4,"1. User wants to know about the comments in loan application after CI review
2. Divya checked the details and asked user to search the loan ID in the search bar and will get the comments
3. User got the required details",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User has loading issue,Severity 4,"1. User reported issues in login
2. Dhivya checked in ssp and informed the steps to the user
3. Confirmation was given to the user",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User want to check why the submitted application is not gone to a particular manager,Severity 4,"1.User want to check why the submitted application is not gone to a particular manager
2. Dhivya checked in SSP and updated the steps to the user
3. Confirmation was given to the user",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User unable to login,Severity 3,"1. User unable to login
2. Dhivya checked in SSP and informed user to login with correct mobile number or email ID
3. Confirmation was given to user",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User having an issue while filing an application,Severity 4,1. User wants to know certain data while filing an application,L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,User wants to swap the accounts between two users,Severity 4,"1. User wants to swap accounts between two CS
2. Divya checked the details
3. Confirmed to user that the accounts are already swapped",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User wants to know about editing an application after book keeper review,Severity 4,"1.  User wants to know about editing an application after reviewed by book keeper
2. Divya checked the details 
3. Information provided to user regrading the flow of reviewing an application",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User was unable to file an application,Severity 4,"1. User wants to know about filing application
2. Divya checked the details 
3. Issue has been resolved",L1
August,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,Sir John wants to update email ID for one of the manager,Severity 4,"1. Sir John wants to update the email ID for one of the manager
2. Divya checked in SSP
3.Email ID of the manager has been updated",L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on user login,User was unable to login,Severity 3,"1. User was unable to login
2. Dhivya checked the details
3. Asked to contact admin manager for registration purpose",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User doesn't know where to check the notification,Severity 4,"1. User unable to check the notification after loan submission
2. Dhivya checked in SSP and informed the user about the steps.
3. Confirmation was given to the user.",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User want to know if the application submitted or not,Severity 4,"1. User unable to know application status and how to withdraw the application
2. Dhivya checked in SSP and informed the details to the user
3. confirmation was given to the user",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,New cashier account to be created,Severity 4,"1. Manager wanted the cashier account to be created
2. Dhivya checked in SSP and new cashier account was created
3. Confirmation was given that new cashier account was created",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request on User modification,User need data modification,Severity 4,"1. User want to modify the branch
2. Dhivya checked in SSP and updated the new branch 
3. Confirmation was given to the user",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request on User modification,User modification request,Severity 4,"1. User wanted to update the branch
2. Dhivya checked in SSP and updated the branch code
3. Confirmation was given to the user",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User account suspended issue,Severity 3,"1. User unable to login
2. Dhivya checked in SSP and raised the issue to data team that user account was suspended
3. Data team resolved the issue and confirmation mail was sent to the user.",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Cashier account need to be created,Severity 4,"1. User want to create cashier account
2. Divya checked the details 
3. Cashier account created",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,User wants to create cashier account,Severity 4,"1. user wants to create cashier account
2. Divya checked the details and created cashier account
3. Confirmation send to user via live chat itself",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User wants to know about filing an application,Severity 4,"1. User wants to know about filing an application
2. Divya checked the details
3. Informations provided",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User was unable to login,Severity 3,"1. User was unable to login
2. Dhivya checked the details 
3. Dhivya asked to login with the given email ID",L1
August,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User was unable to submit an application,Severity 4,"1. User was unable to submit an application
2. Divya checked the details and asked user to clear cache
3. Issue resolved",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request on User modification,Cashier wanted to update the email ID,Severity 4,"1. Cashier wanted to update the email ID
2. Dhivya checked in SSP and updated the mail ID
3. Confirmation was given to the user",L1
August,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User login issue,Severity 4,"1. User has login issues
2. Divya checked in SSP and asked the user to login in with default password
3. Confirmation was given to the user",L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,Manager wants to deactivate one CS,Severity 4,"1. Manager wants to deactivate one CS
2. Divya checked the details 
3. Deactivated CS from SSP and confirmed to manager",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,New cashier account creation,Severity 4,"1. New cashier account creation request was raised
2. Dhivya checked in SSP and created new user registration
3. Confirmation was given to Sir John",L1
August,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User was unable to login,Severity 3,"1. User was unable to login
2. Dhivya checked in SSP and informed user to login using the production link 
3. confirmation was given to the user",L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on payment recording,User has duplicate receipt issue,Severity 3,"1.User has duplicate receipt issue
2. Some more details were requested to the user
3. No response from the user hence closing the ticket",L1
August,Wheeltek,LOS,Web Application,Product,Request,Request on password reset,User doesn't receive OTP in mail,Severity 4,"1. User doesn't receive OTP in mail
2. Some more details were requested to the user
3. No response from the user hence closing the ticket",L1
August,MOTORACE,Fintech - AIDC,Mobile,Product,Incident,Issue on user login,User unable to login,Severity 3,"1. user was unable to login
2. Dhivya checked in SSP and gave steps
3. User login issue resolved and confirmed",L1
August,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User has login issues,Severity 3,"1. User has login issues
2. Some more details were requested to the user
3. No response from the user hence closing the ticket",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,User transactions approved are not found in EC pay,Severity 3,"1. User transactions approved are not found in EC pay
2. Some more details were requested to the user
3. No response from the user hence closing the ticket",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Approved transactions are not in EC pay,Severity 3,"1. Approved transactions are not in EC pay
2. Some more details were requested to the user
3. No response from the user hence closing the ticket",L1
August,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Some more details were requested to the user
3. No response from the user hence closing the ticket",L1
August,Wheeltek,LOS,Web Application,Product,Incident,Issue on user login,User unable to login LOS app,Severity 3,"1. User unable to login LOS app
2. Some more details were requested to the user
3. No response from the user hence closing the ticket",L1
August,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User unable to login,Severity 3,"1. User unable to login
2. Divya checked in SSP and informed the user the default password to login
3. Confirmation was given to the user.",L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on payment recording,User doesn't have allocations,Severity 3,"1. User doesn't have allocations in his account
2. Divya checked in SSP and informed the issue has been resolved
3. Confirmation mail was sent to the user",L1
August,Wheeltek,UP,Web Application,Product,Incident,Issue on payment recording,User doesn't have allocations,Severity 3,"1.User doesn't have allocations
2. Divya checked in SSP and the issue was resolved
3. Confirmation mail was sent to the customer",L1
August,Wheeltek,Fintech - AIDC,Mobile,User Training,Training,Training on Payment Recording,User wants to know about the allocation details,Severity 4,"1. User wants to know about allocations
2. Divya checked the details
3. Email confirmation send to user",L1
August,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User unable to login,Severity 3,"1. User unable to login
2. Some more details were requested to the user
3. No response from the user hence closing the ticket",L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,CS transfer request,Severity 4,"1. CS transfer request
2. Some more details were requested to the user
3. No response from the user hence closing the ticket",L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request for user registration,CS account creation request,Severity 4,"1. New user account creation request
2. Dhivya checked in SSP and created new user account
3. Confirmation mail was sent to the user",L1
August,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User having issue in payment recording,Severity 3,"1. User having issue in reviewing applications
2. Dhivya checked the details
3. Closing this ticket as didn't got any confirmation from  user",L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request for user registration,User wants to register an account,Severity 4,"1. User wants to create account
2. Dhivya checked the details 
3. asked user to contact admin manager for registration",L1
August,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User was unable to login,Severity 3,"1. User was unable to login
2. dhivya checked the details 
3. asked user to reset password from login page using ""Forgot password"" option",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,User having issue on payment recording,Severity 3,"1. User having payment issues
2. Dhivya checked the details and asked for screenshot
3. As no response from customer closing this ticket",L1
August,Wheeltek,LOS,Web Application,Product,Training,Training on Payment Recording,User wants to know CI,Severity 4,"1. User wants to know CI
2. Dhivya checked in SSP and requested the user for more details
3.No response from the user hence closing the ticket",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager wants to create a cashier account,Severity 4,"1. Manager wants to create cashier account
2. Dhivya checked the details and cashier account created
3. Email confirmation send to manager",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager wants to create a cashier account,Severity 4,"1. Manager wants to create cashier account
2. Dhivya checked the details
3. Informed Manager that the cashier account already exists",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager wants to create a cashier account,Severity 4,"1. Manager wants to create a cashier account
2. Dhivya checked the details
3. Cashier account has been created and email confirmation send to manager",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Training,Training on Payment Recording,User account creation,Severity 4,"1. Bookkeeper requested for cashier account creation
2. Dhivya checked in SSP and informed user to connect with manager for user account creation.
3. Confirmation was given to the user",L1
August,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User unable to submit the loan application,Severity 3,"1. User unable to submit the loan application
2. Dhivya checked in SSP and informed to clear cache and upload
3. Confirmation was given to the user",L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Training,Training on Payment Recording,User wants to register his account,Severity 4,"1. User wants to register his account
2. Dhivya checked in SSP and informed the steps to the user
3. Confirmation was given to the user",L1
August,Wheeltek,LOS,Web Application,Product,Training,Training on Payment Recording,Sales person want to edit application,Severity 4,"1. Sales person wants to edit information in application
2. Dhivya checked in SSP and informed the steps to the user
3. Confirmation was given to the user",L1
August,Wheeltek,Denali,Web Application,Product,Incident,Issue on user login,User unable to login,Severity 3,"1. user unable to login
2. Dhivya checked in SSP and requested user for details
3. No response from user hence the ticket is closed",L1
August,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User was unable to login,Severity 3,"1. User was unable to login
2. Divya checked the details and asked to reset password from login page
3. User reset password and able to login",L1
August,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User have login issues,Severity 3,"1. User have login issues
2. Divya checked the details
3. Asked user to contact Sir Rendell for email Id update",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,CCDO wants to create cashier account,Severity 4,"1. CCDo wants to create cashier account
2. Divya checked the details 
3. Create cashier accounts and details shared",L1
August,Wheeltek,LOS,Web Application,User Training,Training,Training on Payment Recording,User wants to login loan,Severity 4,"1. User want to know how to login loan 
2. Dhivya checked in SSP and requested further details to the user
3. No response from the user hence the ticket has been closed",L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on payment recording,User have less allocations,Severity 3,"1. User have less allocations
2. Divya checked the details
3. asked t contact Sir Rendell",L1
August,Wheeltek,LOS,Web Application,Product,Incident,Issue on user login,User unable to login,Severity 3,"1. user unable to login 
2. Dhivya checked in SSP and requested further details to the user
3. No response from the user hence the ticket has been closed",L1
August,Wheeltek,Denali,Mobile,Product,Request,Request for user registration,User wants to get registered,Severity 4,"1. User wants to get registered
2. Divya checked details
3. asked to contact admin manager for registration",L1
August,MOTORACE,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User having login issues,Severity 3,"1. User having login issue
2. Divya checked the details
3. Asked user to clear cache and try to login",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager wants to create a cashier account,Severity 4,"1.Manager wants to create a cashier account
2. Divya checked the details
3. Divya created cashier account and email confirmation send to cashier with the login credentials",L1
August,Wheeltek,Fintech - AIDC,Web Application,Product,Training,Training on Payment Recording,User have allocation issues,Severity 4,"1. User have allocation issues
2. Divya checked the details 
3. Asked user to contact Sir Rendell",L1
August,Wheeltek,LOS,Web Application,Product,Request,Request on User modification,User unable to login,Severity 4,"1. User wants branch updation
2. Dhivya checked in SSP and requested further details to the user
3. No response from the user hence the ticket has been closed",L1
August,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User was unable to login,Severity 3,"1. User was unable to login
2. Divya checked the details and asked user for more details
3. Since there is no response from the customer closing the ticket",L1
August,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User was not receiving notifications,Severity 3,"1. user was not receiving notifications
2. Divya checked the details and asked for more details
3. Since there is no response from user closing this ticket",L1
August,Wheeltek,Denali,Web Application,Product,Incident,Issue on user login,User was unable to login,Severity 3,"1. User was unable to login
2. Divya checked the details and asked user for more details
3. Since there is no response from the customer closing the ticket",L1
August,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,User wants to update branch,Severity 4,"1. Manager want to update branch
2. Divya checked the details
3. Email send to user with the details",L1
August,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User was unable to login,Severity 3,"1. User was unable to login
2. Divya checked the details and asked user for more details
3. Since there is no response from the customer closing the ticket",L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,User wants to update contact number,Severity 4,"1. User wants to update contact number
2. Dhivya checked the details and updated branch
3. Email confirmation send to user",L1
August,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User was not receiving notification,Severity 3,"1. User was not receiving notifications
2. Dhivya checked the details and asked for more information from user
3. Closing the ticket since there is no response from user",L1
August,Wheeltek,Denali,Web Application,Product,Incident,Issue on user login,User was unable to login,Severity 3,"1. User was unable to login
2. Divya checked the details 
3. Asked user to contact admin manager for registration",L1
August,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,User wants to update branch,Severity 4,"1. User wants to update branch
2. Divya checked the details 
3. Updated branch and confirmation send via live chat",L1
